Isolates,Level 1,Level 2
11679_4#36,19,61
11679_4#37,16,50
11679_4#38,20,70
11679_4#39,24,86
11679_4#4,24,86
11679_4#40,24,86
11679_4#41,20,67
11679_4#42,20,70
11679_4#43,17,52
11679_4#44,24,87
11679_4#45,19,60
11679_4#46,18,55
11679_4#47,21,78
11679_4#48,19,60
11679_4#49,20,70
11679_4#5,19,61
11679_4#50,7,20
11679_4#52,24,86
11679_4#53,24,86
11679_4#54,24,86
11679_4#55,20,70
11679_4#56,24,86
11679_4#57,20,68
11679_4#58,24,88
11679_4#59,13,39
11679_4#6,14,43
11679_4#60,19,60
11679_4#61,9,25
11679_4#62,24,88
11679_4#63,19,60
11679_4#64,7,20
11679_4#65,3,10
11679_4#66,24,86
11679_4#67,15,46
11679_4#68,6,18
11679_4#69,20,66
11679_4#7,20,70
11679_4#70,17,52
11679_4#71,20,68
11679_4#72,19,62
11679_4#73,3,10
11679_4#74,6,18
11679_4#75,20,70
11679_4#76,2,6
11679_4#77,19,61
11679_4#78,12,35
11679_4#79,18,57
11679_4#8,24,86
11679_4#80,17,52
11679_4#81,23,83
11679_4#82,20,70
11679_4#83,20,70
11679_4#84,21,76
11679_4#85,20,70
11679_4#86,20,69
11679_4#87,3,10
11679_4#88,19,60
11679_4#89,24,86
11679_4#9,20,70
11679_4#90,19,59
11679_4#91,24,86
11679_4#92,24,86
11679_4#93,15,46
11679_4#94,20,68
11679_4#95,24,86
11679_4#96,20,70
11679_5#1,15,46
11679_5#10,2,6
11679_5#11,20,70
11679_5#12,24,88
11679_5#13,18,54
11679_5#14,17,52
11679_5#15,20,67
11679_5#16,1,2
11679_5#17,20,70
11679_5#18,20,70
11679_5#19,20,68
11679_5#2,24,86
11679_5#20,14,42
11679_5#21,18,56
11679_5#22,8,22
11679_5#23,8,21
11679_5#24,12,34
11679_5#25,6,18
11679_5#26,20,68
11679_5#27,18,55
11679_5#28,18,54
11679_5#29,19,60
11679_5#3,19,62
11679_5#30,1,2
11679_5#31,20,66
11679_5#32,20,70
11679_5#33,24,86
11679_5#34,3,10
11679_5#35,2,6
11679_5#36,13,37
11679_5#37,19,59
11679_5#38,19,63
11679_5#39,19,60
11679_5#4,3,10
11679_5#40,21,76
11679_5#41,14,43
11679_5#42,1,2
11679_5#43,9,24
11679_5#44,24,86
11679_5#45,21,73
11679_5#46,23,85
11679_5#47,20,68
11679_5#48,2,6
11679_5#49,5,16
11679_5#5,20,67
11679_5#50,14,43
11679_5#51,1,2
11679_5#52,3,10
11679_5#53,1,2
11679_5#54,1,2
11679_5#55,19,60
11679_5#56,2,6
11679_5#57,24,87
11679_5#58,3,7
11679_5#59,2,6
11679_5#6,14,43
11679_5#60,17,52
11679_5#61,13,38
11679_5#62,1,2
11679_5#63,12,35
11679_5#64,20,70
11679_5#65,20,70
11679_5#66,3,10
11679_5#67,11,32
11679_5#68,13,37
11679_5#69,8,22
11679_5#7,21,72
11679_5#70,18,57
11679_5#71,14,43
11679_5#72,6,17
11679_5#73,16,50
11679_5#74,12,35
11679_5#75,17,52
11679_5#76,3,10
11679_5#77,24,88
11679_5#78,13,39
11679_5#79,14,40
11679_5#8,23,85
11679_5#80,24,86
11679_5#81,20,70
11679_5#82,20,67
11679_5#83,19,60
11679_5#84,19,61
11679_5#85,8,22
11679_5#86,19,58
11679_5#87,5,16
11679_5#88,17,52
11679_5#89,23,83
11679_5#9,19,60
11679_5#90,24,88
11679_5#91,19,59
11679_5#92,7,20
11679_5#93,3,10
11679_5#94,24,86
11679_5#95,3,10
11679_5#96,19,62
11679_6#1,20,70
11679_6#10,3,10
11679_6#11,18,57
11679_6#12,20,68
11679_6#13,21,73
11679_6#14,16,50
11679_6#15,13,38
11679_6#18,20,70
11679_6#19,22,79
11679_6#2,4,13
11679_6#20,18,57
11679_6#21,10,30
11679_6#22,20,70
11679_6#23,20,70
11679_6#24,22,82
11679_6#25,13,39
11679_6#26,19,59
11679_6#27,19,59
11679_6#28,20,69
11679_6#29,19,64
11679_6#3,19,63
11679_6#30,24,87
11679_6#31,23,85
11679_6#32,20,67
11679_6#33,23,85
11679_6#34,20,70
11679_6#35,9,24
11679_6#36,19,60
11679_6#37,1,2
11679_6#38,20,70
11679_6#39,20,68
11679_6#4,3,10
11679_6#40,19,60
11679_6#41,21,74
11679_6#42,19,60
11679_6#43,20,70
11679_6#44,19,64
11679_6#45,24,88
11679_6#46,5,16
11679_6#47,2,6
11679_6#48,1,3
11679_6#49,24,88
11679_6#5,4,12
11679_6#50,19,64
11679_6#51,12,34
11679_6#52,3,7
11679_6#53,18,54
11679_6#54,19,63
11679_6#55,20,70
11679_6#56,16,50
11679_6#57,4,11
11679_6#58,1,2
11679_6#59,24,86
11679_6#60,19,64
11679_6#61,20,70
11679_6#62,5,15
11679_6#63,16,50
11679_6#64,13,38
11679_6#65,19,60
11679_6#66,10,30
11679_6#67,20,68
11679_6#68,22,81
11679_6#69,19,64
11679_6#7,24,87
11679_6#70,3,10
11679_6#71,2,6
11679_6#72,13,39
11679_6#73,2,4
11679_6#74,19,59
11679_6#75,3,10
11679_6#76,17,52
11679_6#77,17,52
11679_6#78,21,74
11679_6#79,3,10
11679_6#8,18,55
11679_6#80,13,37
11679_6#81,20,70
11679_6#82,3,10
11679_6#83,9,25
11679_6#84,20,67
11679_6#85,20,67
11679_6#86,18,54
11679_6#87,21,73
11679_6#88,17,52
11679_6#89,12,35
11679_6#9,3,10
11679_6#90,3,10
11679_6#91,8,22
11679_6#92,1,2
11679_6#93,24,86
11679_6#94,24,86
11679_6#95,24,86
11679_6#96,23,85
11679_7#1,19,61
11679_7#10,21,73
11679_7#11,20,67
11679_7#12,24,87
11679_7#13,15,46
11679_7#14,9,25
11679_7#15,16,50
11679_7#16,19,60
11679_7#17,15,44
11679_7#18,23,85
11679_7#19,17,52
11679_7#2,23,84
11679_7#20,22,81
11679_7#21,20,67
11679_7#22,20,68
11679_7#23,10,30
11679_7#24,9,25
11679_7#26,24,86
11679_7#27,14,43
11679_7#28,14,42
11679_7#29,13,39
11679_7#30,17,52
11679_7#31,21,73
