Isolates,Level 1,Level 2
11679_6#95,3,19
11679_6#96,29,156
11679_7#1,27,134
11679_7#10,24,111
11679_7#11,28,141
11679_7#12,8,43
11679_7#13,21,98
11679_7#14,11,51
11679_7#15,22,106
11679_7#16,27,133
11679_7#17,21,96
11679_7#18,29,156
11679_7#19,23,108
11679_7#2,29,152
11679_7#20,12,52
11679_7#21,28,141
11679_7#22,28,143
11679_7#23,14,62
11679_7#24,11,51
11679_7#26,3,19
11679_7#27,19,91
11679_7#28,19,90
11679_7#29,17,79
11679_7#30,23,108
11679_7#31,24,111
11679_7#32,4,22
11679_7#34,22,106
11679_7#35,27,130
11679_7#36,28,139
11679_7#37,4,24
11679_7#38,20,94
11679_7#39,5,30
11679_7#4,29,156
11679_7#40,27,133
11679_7#41,9,46
11679_7#42,3,19
11679_7#43,6,36
11679_7#44,3,19
11679_7#45,6,38
11679_7#46,27,130
11679_7#47,28,143
11679_7#48,27,129
11679_7#49,9,45
11679_7#5,3,19
11679_7#50,28,142
11679_7#51,25,115
11679_7#52,25,116
11679_7#53,12,55
11679_7#54,3,19
11679_7#55,27,137
11679_7#56,2,13
11679_7#57,27,136
11679_7#58,3,19
11679_7#59,28,143
11679_7#6,27,135
11679_7#60,28,142
11679_7#61,12,53
11679_7#62,29,156
11679_7#63,28,142
11679_7#64,15,70
11679_7#65,17,79
11679_7#66,7,40
11679_7#67,29,156
11679_7#68,25,119
11679_7#69,19,91
11679_7#70,3,19
11679_7#71,28,139
11679_7#72,28,144
11679_7#73,26,123
11679_7#74,28,142
11679_7#75,15,72
11679_7#76,26,122
11679_7#77,11,51
11679_7#78,23,108
11679_7#79,28,143
11679_7#8,3,19
11679_7#80,28,142
11679_7#81,1,3
11679_7#82,14,69
11679_7#83,4,24
11679_7#84,4,24
11679_7#85,18,86
11679_7#86,8,43
11679_7#87,18,81
11679_7#88,5,34
11679_7#89,26,120
11679_7#9,6,36
11679_7#90,4,24
11679_7#91,27,134
11679_7#92,11,49
11679_7#93,3,19
11679_7#94,28,145
11679_7#95,2,14
11679_7#96,25,119
11679_8#1,18,86
11679_8#10,28,145
11679_8#11,3,20
11679_8#12,25,115
11679_8#13,29,153
11679_8#14,27,130
11679_8#15,2,14
11679_8#16,27,130
11679_8#17,25,116
11679_8#18,28,141
11679_8#19,6,35
11679_8#2,4,26
11679_8#20,26,122
11679_8#21,28,142
11679_8#22,29,152
11679_8#23,26,125
11679_8#24,23,108
11679_8#25,19,91
11679_8#26,17,78
11679_8#27,25,115
11679_8#28,1,3
11679_8#29,1,6
11679_8#3,26,123
11679_8#30,22,105
11679_8#31,29,152
11679_8#32,21,99
11679_8#33,17,78
11679_8#34,16,73
11679_8#35,4,26
11679_8#36,4,26
11679_8#37,27,133
11679_8#38,28,142
11679_8#39,28,142
11679_8#4,29,156
11679_8#40,9,46
11679_8#41,28,142
11679_8#42,28,142
11679_8#43,4,26
11679_8#44,5,34
11679_8#45,27,133
11679_8#46,28,145
11679_8#47,4,26
11679_8#48,4,24
11679_8#49,17,79
11679_8#5,6,35
11679_8#50,4,26
11679_8#52,2,17
11679_8#53,24,111
11679_8#54,2,13
11679_8#55,5,27
11679_8#56,16,74
11679_8#57,18,87
11679_8#58,4,24
11679_8#59,13,60
11679_8#6,8,41
11679_8#60,27,132
11679_8#61,29,153
11679_8#62,23,108
11679_8#63,17,78
11679_8#64,11,51
11679_8#65,14,68
11679_8#66,4,23
11679_8#67,25,119
11679_8#68,4,26
