Isolate K_2 K_3 K_4 K_5 K_6 K_7 K_8 K_9 K_10 K_11 K_12 K_13 K_14 K_15 K_16 K_17 K_18 K_19 K_20 K_21 K_22 K_23 K_24 K_25 K_26 K_27 K_28 K_29 K_30 K_31 K_32 K_33 K_34 K_35 K_36 K_37 K_38 K_39 K_40 K_41 K_42 K_43 K_44 K_45 K_46 K_47 K_48 K_49 K_50
MK9396_2015-07-18 1 1 3 3 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 15 15 15 15 15 15 15 15 15 15 15 16 17 17 17 17 17 17 17 18 18 18 18
PL8486_2015-06-25 1 1 3 3 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 15 15 15 15 15 15 15 16 16 16 16
PL4346_2015-03-04 1 1 3 3 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 15 15 15 15 15 15 15 15 15 15 15 16 17 17 17 17 17 17 17 18 18 18 18
CDC-NIH-272_2014-08-27 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9
77572_EMLK_2015-01-03 1 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 11 11 12 12 12 13 13 14 14 15 16 16 16 16 16 16 16 16 16 16 16 17 18 18 18 18 18 18 18 19 19 19 19
EM_COY_2015_023888_2015-09-15 1 2 2 5 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 20 20 20
CON-10193_2015-08-03 1 2 2 5 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8
CON-10512_2015-08-11 1 2 2 5 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8
CON-10590_2015-08-13 1 2 2 5 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8
CON-10786_2015-08-17 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 13 13 13 13
CON-11010_2015-08-23 1 2 2 5 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8
CON-8559_2015-06-21 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 13 13 14 14 15 15 16 17 17 17 17 17 17 17 17 17 17 17 18 19 19 19 19 19 19 19 20 21 21 21
CON-8811_2015-06-27 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 13 13 13 13
CON12930_2015-10-13 2 3 4 4 5 5 6 6 6 6 6 6 6 6 6 11 12 12 13 14 14 15 15 16 16 17 18 18 18 18 18 18 18 18 18 18 18 19 20 20 20 20 20 20 20 21 22 22 22
EM-FORE-2015-1414_2015-07-13 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 13 13 13 13
EM-FORE-2015-548_2015-05-27 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 13 13 13 13
EM-FORE-2015-631_2015-06-02 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 13 13 13 13
EM-FORE-2015-664_2015-06-04 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 13 13 13 13
EM-FORE-2015-669_2015-06-05 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 13 13 13 13
EM-FORE-2015-838_2015-06-16 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 13 13 13 13
EM-FORE_2015_1160_2015-07-13 1 2 2 5 6 6 7 8 8 8 8 9 9 9 9 9 9 9 10 8 8 8 8 9 9 9 9 9 9 9 9 9 9 19 19 19 19 20 21 21 21 21 21 21 21 22 23 23 23
EM_COY_2015_013576_2015-03-09 2 3 4 4 5 5 6 6 6 6 6 6 6 6 6 11 12 12 13 14 14 15 15 16 16 17 18 18 18 18 18 18 18 18 18 18 18 19 20 20 20 20 20 20 20 21 22 22 22
EM_COY_2015_013671_2015-03-12 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 13 13 14 14 15 15 16 17 17 17 17 17 17 17 17 17 17 17 18 19 19 19 19 19 19 19 20 21 21 21
EM_COY_2015_013731_2015-03-14 2 3 4 4 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 22 22 22 23 24 24 24
EM_COY_2015_013795_2015-03-16 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 13 13 14 14 15 15 16 17 17 17 17 17 17 17 17 17 17 17 18 19 19 19 19 19 19 19 20 21 21 21
EM_COY_2015_013857_2015-03-18 2 3 4 4 5 5 6 6 6 6 6 6 6 6 6 11 12 12 13 14 14 15 15 16 16 17 18 18 18 18 18 18 18 18 18 20 20 21 22 22 22 22 23 23 23 24 25 25 25
EM_COY_2015_013962_2015-03-22 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 13 13 14 14 15 15 16 17 17 17 17 17 17 17 17 17 17 17 18 19 19 19 19 19 19 19 20 21 21 21
EM_COY_2015_014060_2015-03-25 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 13 13 14 14 15 15 16 17 17 17 17 17 17 17 17 17 17 17 18 19 19 19 19 19 19 19 20 21 21 21
