Isolates,Level 1
6631_1#4_S_pneumoniae_Spanish_23F.dna,18
6631_1#5_S_pneumoniae_Spanish_23F.dna,17
6631_1#6_S_pneumoniae_Spanish_23F.dna,25
6631_1#7_S_pneumoniae_Spanish_23F.dna,22
6631_1#8_S_pneumoniae_Spanish_23F.dna,23
6631_1#9_S_pneumoniae_Spanish_23F.dna,20
6631_2#10_S_pneumoniae_Spanish_23F.dna,25
6631_2#11_S_pneumoniae_Spanish_23F.dna,31
6631_2#12_S_pneumoniae_Spanish_23F.dna,27
6631_2#13_S_pneumoniae_Spanish_23F.dna,29
6631_2#14_S_pneumoniae_Spanish_23F.dna,25
6631_2#15_S_pneumoniae_Spanish_23F.dna,29
6631_2#16_S_pneumoniae_Spanish_23F.dna,29
6631_2#17_S_pneumoniae_Spanish_23F.dna,21
6631_2#18_S_pneumoniae_Spanish_23F.dna,29
6631_2#19_S_pneumoniae_Spanish_23F.dna,22
6631_2#1_S_pneumoniae_Spanish_23F.dna,29
6631_2#20_S_pneumoniae_Spanish_23F.dna,29
6631_2#21_S_pneumoniae_Spanish_23F.dna,21
6631_2#22_S_pneumoniae_Spanish_23F.dna,2
6631_2#23_S_pneumoniae_Spanish_23F.dna,23
6631_2#24_S_pneumoniae_Spanish_23F.dna,22
6631_2#2_S_pneumoniae_Spanish_23F.dna,29
6631_2#3_S_pneumoniae_Spanish_23F.dna,29
6631_2#4_S_pneumoniae_Spanish_23F.dna,29
6631_2#5_S_pneumoniae_Spanish_23F.dna,31
6631_2#6_S_pneumoniae_Spanish_23F.dna,30
6631_2#7_S_pneumoniae_Spanish_23F.dna,18
6631_2#8_S_pneumoniae_Spanish_23F.dna,2
6631_2#9_S_pneumoniae_Spanish_23F.dna,25
6631_3#10_S_pneumoniae_Spanish_23F.dna,7
6631_3#11_S_pneumoniae_Spanish_23F.dna,25
6631_3#12_S_pneumoniae_Spanish_23F.dna,31
6631_3#13_S_pneumoniae_Spanish_23F.dna,20
