Isolates,Level 1,Level 2
11657_7#64,3,10
11657_7#65,13,38
11657_7#66,19,65
11657_7#67,20,71
11657_7#68,18,63
11657_7#69,20,71
11657_7#7,19,66
11657_7#70,19,65
11657_7#71,20,71
11657_7#72,16,52
11657_7#73,19,65
11657_7#74,20,73
11657_7#75,7,21
11657_7#76,20,70
11657_7#77,19,67
11657_7#78,19,65
11657_7#79,23,86
11657_7#8,18,63
11657_7#80,22,82
11657_7#81,9,25
11657_7#82,6,19
11657_7#83,16,51
11657_7#84,16,48
11657_7#85,2,5
11657_7#86,18,60
11657_7#87,13,38
11657_7#88,18,63
11657_7#89,19,65
11657_7#9,2,5
11657_7#90,18,61
11657_7#91,2,7
11657_7#92,10,28
11657_7#93,16,51
11657_7#94,4,13
11657_7#95,19,65
11657_7#96,20,71
11658_3#1,23,86
11658_3#10,21,77
11658_3#11,1,2
11658_3#12,1,2
11658_3#13,24,89
11658_3#14,1,3
11658_3#19,15,46
11658_3#2,24,91
11658_3#20,18,59
11658_3#21,17,54
11658_3#22,1,2
11658_3#23,21,80
11658_3#24,13,39
11658_3#25,11,32
11658_3#26,20,73
11658_3#27,20,70
11658_3#28,5,17
11658_3#29,20,71
11658_3#3,3,10
11658_3#30,18,63
11658_3#31,19,67
11658_3#32,20,70
11658_3#33,22,81
11658_3#34,18,58
11658_3#35,20,71
11658_3#36,19,65
11658_3#37,16,51
11658_3#38,19,65
11658_3#39,20,71
11658_3#4,19,65
11658_3#40,22,82
11658_3#41,19,65
11658_3#42,19,65
11658_3#43,18,59
11658_3#44,14,42
11658_3#45,4,11
11658_3#46,20,70
11658_3#47,20,70
11658_3#48,23,86
11658_3#49,3,9
11658_3#5,20,71
11658_3#50,2,5
11658_3#51,6,18
11658_3#52,18,60
11658_3#53,16,48
11658_3#54,16,52
11658_3#55,19,65
11658_3#56,19,65
11658_3#57,20,71
11658_3#58,7,21
11658_3#59,4,13
11658_3#6,2,7
11658_3#60,23,85
11658_3#61,14,43
11658_3#62,16,51
11658_3#64,20,70
11658_3#65,7,21
11658_3#66,20,71
11658_3#67,20,68
11658_3#68,3,10
11658_3#69,3,8
11658_3#7,8,22
11658_3#70,19,67
11658_3#71,20,71
11658_3#72,3,9
11658_3#73,17,56
11658_3#74,19,65
11658_3#75,20,71
11658_3#76,17,54
11658_3#77,23,86
11658_3#78,5,17
11658_3#79,20,71
11658_3#8,19,67
11658_3#80,16,52
11658_3#81,20,71
11658_3#82,20,71
11658_3#83,20,68
11658_3#84,1,2
11658_3#85,20,70
11658_3#86,19,65
11658_3#87,3,10
11658_3#88,21,76
11658_3#89,3,8
11658_3#9,3,10
11658_3#90,3,10
11658_3#91,18,57
11658_3#92,15,45
