Isolates,Level 1
20143550_2014-11-01,3
20143648_2014-11-03,3
20143659_2014-11-03,3
20143716_2014-11-04,5
20143753_2014-11-05,5
20143796_2014-11-05,3
20143918_2014-11-06,3
20143938_2014-11-07,3
20143964_2014-11-07,3
20144192_2014-11-08,3
20144521_2014-11-12,5
20144610_2014-11-12,5
20144819_2014-11-15,3
20144820_2014-11-15,3
20144837_2014-11-14,3
20144865_2014-11-13,3
20145835_2014-11-25,3
20145853_2014-11-26,3
20146001_2014-11-24,5
20146553_2014-12-22,3
Makona-201403147_2014-09-13,3
Makona-201403261_2014-09-26,3
Makona-GE1_2014-11-21,3
DML12033_2015-02-19,4
DML12051_2015-02-21,4
DML12116_2015-02-26,4
DML12117_2015-02-26,4
DML12120_2015-02-27,4
DML12137_2015-02-28,4
DML12194_2015-03-04,3
DML12239_2015-03-09,5
DML12260_2015-03-09,4
DML12268_2015-03-10,4
DML12458_2015-03-28,3
DML12485_2015-03-31,4
DML24502_2015-01-13,5
DML24504_2015-01-13,5
DML24506_2015-01-14,5
DML24511_2015-01-14,5
DML24552_2015-01-17,5
DML24553_2015-01-17,5
DML24573_2015-01-18,5
DML24581_2015-01-19,5
DML24592_2015-01-20,5
DML24601_2015-01-20,5
DML24604_2015-01-20,5
DML24605_2015-01-20,5
DML24606_2015-01-20,5
DML24608_2015-01-20,5
DML24611_2015-01-21,5
DML24669_2015-01-25,5
DML24677_2015-01-25,5
DML24683_2015-01-26,5
DML24708_2015-01-28,5
DML24818_2015-02-03,5
DML24825_2015-02-04,5
DML24854_2015-02-06,5
DML25083_2015-02-18,5
DML25103_2015-02-19,5
DML25180_2015-02-23,5
DML25344_2015-03-06,5
DML25411_2015-03-10,3
EM_000015_2014-09-01,3
EM_000027_2014-09-01,3
EM_000028_2014-09-01,3
EM_000127_2014-09-04,3
EM_000128_2014-09-04,3
EM_000218_2014-09-07,3
EM_000219_2014-09-07,3
EM_000321_2014-09-09,3
EM_000457_2014-09-12,3
EM_000500_2014-09-13,3
EM_000501_2014-09-13,3
EM_000502_2014-09-13,3
EM_000706_2014-09-21,3
EM_000707_2014-09-22,2
EM_000921_2014-09-29,3
EM_000925_2014-09-29,3
EM_000934_2014-09-29,2
EM_000958_2014-09-30,3
EM_000968_2014-10-01,3
EM_000982_2014-10-01,3
EM_000983_2014-10-01,3
EM_001101_2014-10-05,3
EM_001102_2014-10-05,3
EM_004059_2014-12-20,3
EM_004085_2014-12-19,3
EM_004192_2014-12-22,3
EM_004201_2014-12-24,3
EM_004259_2014-12-26,3
EM_004290_2014-12-27,3
EM_004414_2015-01-02,3
EM_004422_2015-01-02,3
EM_004437_2015-01-04,3
EM_004438_2015-01-04,3
EM_004481_2015-01-11,3
EM_004494_2015-01-14,3
EM_004503_2015-01-15,3
EM_004555_2015-01-22,3
EM_004563_2015-01-25,3
EM_004580_2015-01-27,3
EM_004589_2015-01-31,3
EM_074335_2014-07-18,2
EM_074349_2014-07-22,3
EM_074350_2014-07-22,3
EM_074351_2014-07-22,3
EM_074352_2014-07-22,3
EM_074353_2014-07-22,3
EM_074354_2014-07-22,2
EM_074391_2014-07-26,3
EM_074392_2014-07-25,3
EM_074436_2014-08-01,3
EM_074437_2014-08-01,3
EM_074438_2014-08-01,3
EM_074439_2014-08-01,3
EM_074461_2014-08-04,2
EM_074462_2014-08-04,3
EM_074531_2014-08-08,2
EM_074548_2014-08-08,3
EM_074720_2014-08-14,3
EM_074785_2014-08-16,3
EM_074821_2014-08-17,3
EM_074822_2014-08-17,3
EM_075043_2014-08-22,3
EM_075076_2014-08-23,3
EM_075368_2014-08-29,3
EM_075373_2014-08-30,3
EM_075435_2014-08-30,3
EM_075447_2014-08-31,3
EM_075928_2014-10-10,3
EM_075929_2014-10-10,3
EM_075930_2014-10-10,3
EM_075931_2014-10-10,3
EM_075932_2014-10-10,3
EM_076138_2014-10-17,3
EM_076191_2014-10-18,3
EM_076192_2014-10-18,3
EM_076193_2014-10-18,3
EM_076217_2014-10-19,3
EM_076322_2014-10-22,3
EM_076334_2014-10-23,3
EM_076335_2014-10-23,3
EM_076383_2014-10-26,3
EM_076403_2014-10-27,3
EM_076472_2014-10-29,3
EM_076533_2014-11-01,3
EM_076534_2014-11-01,3
EM_076610_2014-11-03,3
EM_076615_2014-11-03,3
EM_076951_2014-11-13,3
EM_078415_2014-11-24,3
EM_078416_2014-11-24,3
EM_078555_2014-12-01,3
EM_078556_2014-12-01,3
EM_078608_2014-12-04,3
EM_078638_2014-12-03,3
EM_078639_2014-12-04,3
EM_078654_2014-12-09,3
EM_078656_2014-12-09,3
EM_078670_2014-12-11,3
EM_078683_2014-12-11,3
EM_078694_2014-12-14,3
EM_078706_2014-12-15,3
EM_078722_2014-12-16,3
EM_078763_2014-12-17,3
EM_078779_2014-12-18,3
EM_079404_2014-03-28,2
EM_079405_2014-03-28,2
EM_079408_2014-03-31,2
EM_079410_2014-03-31,3
EM_079412_2014-03-31,2
EM_079413_2014-03-31,2
EM_079414_2014-03-31,2
EM_079421_2014-03-30,2
EM_079422_2014-03-27,2
EM_079423_2014-03-27,2
EM_079424_2014-03-27,2
EM_079429_2014-04-02,2
EM_079434_2014-04-02,2
EM_079442_2014-04-03,3
EM_079444_2014-04-02,2
EM_079450_2014-04-01,2
EM_079464_2014-04-04,2
EM_079497_2014-04-07,2
EM_079514_2014-04-10,2
EM_079517_2014-04-11,2
EM_079542_2014-04-12,2
EM_079549_2014-04-13,2
EM_079578_2014-04-18,2
EM_079587_2014-04-22,2
EM_079622_2014-04-28,2
EM_079630_2014-05-01,2
EM_079657_2014-05-07,2
EM_079659_2014-05-07,2
EM_079677_2014-05-10,2
EM_079681_2014-05-11,2
EM_079685_2014-05-11,2
EM_079702_2014-05-14,2
EM_079731_2014-05-18,2
EM_079749_2014-05-21,2
EM_079750_2014-05-21,2
EM_079753_2014-05-22,2
EM_079772_2014-05-24,2
EM_079775_2014-05-24,2
EM_079815_2014-05-28,2
EM_079859_2014-06-01,2
EM_079876_2014-06-05,3
EM_079880_2014-06-05,3
EM_079910_2014-06-09,2
EM_079911_2014-06-09,2
EM_079912_2014-06-09,2
EM_079913_2014-06-09,2
EM_079914_2014-06-10,2
EM_079915_2014-06-10,2
EM_079983_2014-06-13,3
EM_080003_2014-06-14,3
EM_080011_2014-06-15,3
EM_080063_2014-06-20,2
EM_080064_2014-06-20,3
EM_080065_2014-06-20,3
EM_080066_2014-06-20,3
EM_080067_2014-06-20,3
EM_080076_2014-06-22,2
EM_080132_2014-06-24,3
EM_080141_2014-06-25,2
EM_080165_2014-06-26,3
EM_080193_2014-06-29,3
EM_080213_2014-07-03,2
EM_080223_2014-07-04,3
EM_080253_2014-07-10,3
EM_080261_2014-07-12,3
EM_080265_2014-07-12,3
EM_080269_2014-07-12,3
Gueckedou-C05_2014-03-19,2
Gueckedou-C07_2014-03-20,2
Kissidougou-C15_2014-03-17,3
Goderich1_2015-02-19,4
Makona-Italy-INMI1_2014-11-25,3
1027_2014-09-18,1
1039_2014-09-19,3
1043_2014-09-19,3
1047_2014-09-20,2
1059_2014-09-21,3
1063_2014-09-21,3
1069_2014-09-21,3
1081_2014-09-22,3
1100_2014-09-23,2
1104_2014-09-24,3
1105_2014-09-24,3
1116_2014-09-24,3
1120_2014-09-25,3
1121_2014-09-25,3
1128_2014-09-25,3
1129_2014-09-25,2
1149_2014-09-27,3
1193_2014-09-28,2
1205_2014-10-02,3
1210_2014-10-02,3
1211_2014-10-02,3
1213_2014-10-02,2
1215_2014-10-02,3
1249_2014-10-04,2
1250_2014-10-04,1
1274_2014-10-04,3
1277_2014-10-04,2
1278_2014-10-04,2
1279_2014-10-04,3
1283_2014-10-04,3
1298_2014-10-06,2
1316_2014-10-07,2
1320_2014-10-07,2
1321_2014-10-07,3
1327_2014-10-07,2
1331_2014-10-07,2
1333_2014-10-07,2
1339_2014-10-08,3
1340_2014-10-08,3
1341_2014-10-08,2
1342_2014-10-08,3
1355_2014-10-09,3
1365_2014-10-09,3
1371_2014-10-10,3
1374_2014-10-10,2
1394_2014-10-11,3
1436_2014-10-13,2
1445_2014-10-14,3
1454_2014-10-14,3
1480_2014-10-15,3
1481_2014-10-15,3
1491_2014-10-16,3
1551_2014-10-18,2
1561_2014-10-19,3
1567_2014-10-18,3
1568_2014-10-18,3
1571_2014-10-20,3
1622_2014-10-22,3
1623_2014-10-24,3
1648_2014-10-23,2
1651_2014-10-24,1
1652_2014-10-24,2
1686_2014-10-24,2
1689_2014-10-25,2
1690_2014-10-25,2
505_2014-07-24,3
507_2014-07-24,3
509_2014-07-24,3
517_2014-07-24,2
531_2014-07-27,2
573_2014-08-02,3
653_2014-08-15,3
657_2014-08-16,3
678_2014-08-19,3
684_2014-08-20,3
691_2014-08-21,3
701_2014-08-22,3
